FID	IID	wolbachia	MEN_SNP1	MEN_SNP2	MenEx3	inversionPC1	inversionPC2	inversionPC3	inversionPC4	inversionPC5	EigVal1	EigVal2	EigVal3	EigVal4	EigVal5
line_303	line_303	1	2	1	14.22456664	1.000909475	-0.129389317	0.540149503	-0.327695883	0.117185069	-0.0023	0.0586	-0.0235	0.0046	-0.2805
line_304	line_304	2	1	1	10.79154627	0.046680818	-0.281886165	0.749071583	-0.470407031	0.122041728	-0.0046	0.092	-0.0325	0.0154	-0.4745
line_306	line_306	2	2	-9	16.48255556	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0005	0.0721	-0.03	0.0066	-0.3924
line_307	line_307	1	2	2	14.49617588	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0035	0.0404	-0.0212	-0.015	-0.0128
line_309	line_309	1	1	1	12.42558187	-0.238952484	-0.188832098	-0.598788795	-0.629799669	0.144345623	-0.0079	0.0375	-0.0152	-0.0104	-0.01
line_310	line_310	2	1	1	14.5594447	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0121	0.025	-0.0234	0.0022	-0.0146
line_313	line_313	1	2	1	12.97201954	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0843	-0.1848	-0.0625	0.0334	-0.0608
line_315	line_315	1	2	1	12.41823605	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.001	0.035	-0.0171	-0.0005	-0.0008
line_317	line_317	2	-9	1	12.01339502	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	-0.0034	0.0343	0.0581	-0.0036	0.0146
line_318	line_318	2	1	1	13.37934491	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.003	0.038	-0.0124	0.0017	-0.0183
line_319	line_319	2	2	1	17.77386193	-0.226429625	-0.159170327	0.019388242	0.065118426	-0.123589792	-0.0108	0.0351	-0.0227	-0.0087	0.0063
line_320	line_320	2	2	1	13.66065714	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0051	0.0333	-0.0319	-0.0081	-0.0052
line_324	line_324	1	2	1	12.24693089	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0297	0.0286	0.2447	0.0201	0.0174
line_335	line_335	2	2	1	15.34082249	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	-0.0085	0.0293	-0.0293	0.0047	-0.0084
line_336	line_336	2	1	2	15.58699389	1.000909475	-0.129389317	0.540149503	-0.327695883	0.117185069	0.0186	-0.0215	-0.0483	-0.0049	-0.0324
line_338	line_338	2	2	1	13.67186176	1.000909475	-0.129389317	0.540149503	-0.327695883	0.117185069	0.0186	-0.0207	-0.0546	-0.0029	-0.0255
line_350	line_350	1	1	2	11.85000944	0.618210149	0.97399193	-0.087763876	0.103296233	0.032473127	0.1359	-0.2428	0.2438	0.0908	-0.0837
line_357	line_357	1	1	1	14.17401658	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0037	0.0298	-0.0098	-0.0094	-0.0094
line_358	line_358	1	1	-9	12.68172492	0.618210149	0.97399193	-0.087763876	0.103296233	0.032473127	0.1423	-0.2563	0.2613	0.1011	-0.0934
line_359	line_359	1	-9	1	16.30665333	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0965	-0.1973	-0.0919	0.0209	-0.0546
line_360	line_360	2	2	1	16.446732	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0077	0.0323	-0.0222	-0.0155	0.0248
line_361	line_361	2	-9	-9	14.10793115	-0.25847654	-0.252206903	-0.009404274	0.42490821	0.817252782	0.0017	0.0283	-0.0061	0.0195	0.0034
line_362	line_362	2	2	1	13.9221215	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0089	0.0364	-0.0122	-0.0009	0.0001
line_365	line_365	2	1	1	14.14634849	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0047	0.0358	-0.0243	-0.0137	-0.0046
line_367	line_367	1	2	1	13.06023277	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0116	0.0295	-0.0174	-0.013	-0.0045
line_370	line_370	2	2	1	15.61591877	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.008	0.0337	-0.025	-0.0042	-0.0155
line_373	line_373	1	-9	1	11.33074785	-0.25847654	-0.252206903	-0.009404274	0.42490821	0.817252782	-0.0005	0.0347	-0.0102	-0.0046	-0.0032
line_374	line_374	2	2	1	11.99560792	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0153	0.0145	0.2094	-0.0015	0.0137
line_375	line_375	1	1	1	10.90685355	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.005	0.0402	-0.0175	0.0133	-0.0054
line_379	line_379	1	2	1	14.0560961	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0084	0.0327	-0.0308	-0.0014	-0.0106
line_380	line_380	2	2	1	16.06511122	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0011	0.0247	-0.0184	-0.0048	-0.0062
line_383	line_383	2	2	1	13.86190355	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.083	-0.1765	-0.0838	0.0253	-0.0673
line_385	line_385	1	1	1	12.61363705	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.4807	-0.2087	0.0377	0.0082	0.0067
line_386	line_386	1	1	1	18.6522511	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0695	-0.1896	-0.0797	0.0324	-0.0571
line_390	line_390	1	2	1	13.9777479	0.618210149	0.97399193	-0.087763876	0.103296233	0.032473127	0.0963	-0.1839	0.0171	0.031	-0.0393
line_391	line_391	1	2	1	13.17288021	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.017	0.0309	-0.0218	-0.0198	-0.0015
line_392	line_392	1	1	1	15.36263418	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.2914	-0.1238	0.0093	0.0156	-0.0049
line_395	line_395	1	1	1	16.38295229	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.5261	-0.2308	0.0403	0.0103	0.0077
line_397	line_397	2	-9	1	11.97039203	-0.25847654	-0.252206903	-0.009404274	0.42490821	0.817252782	-0.0057	0.036	-0.0108	-0.0006	-0.0058
line_399	line_399	1	1	2	13.09634943	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.4664	-0.2022	0.0349	0.0106	0.0035
line_405	line_405	2	1	1	11.91891866	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0167	-0.0168	-0.0435	-0.0074	-0.021
line_406	line_406	1	2	1	16.01095182	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0945	-0.2006	-0.0871	0.0182	-0.0611
line_426	line_426	1	2	2	15.89112009	1.013777547	-0.175253521	0.442345773	-0.597651379	0.214656222	0.017	-0.0062	-0.0396	-0.0005	-0.0374
line_427	line_427	1	2	1	16.98777542	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0154	0.0381	-0.017	-0.0078	-0.0087
line_437	line_437	1	2	1	12.85822698	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0265	0.0257	0.2326	0.0081	-0.0005
line_439	line_439	1	2	1	14.14736817	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0035	0.0355	-0.0343	0.0037	0.0009
line_440	line_440	2	1	-9	13.69531036	-0.238952484	-0.188832098	-0.598788795	-0.629799669	0.144345623	-0.0009	0.041	-0.0109	-0.0098	-0.0072
line_441	line_441	2	1	1	12.25888081	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0066	0.0375	-0.0244	-0.0019	-0.0094
line_443	line_443	1	2	1	16.18921367	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0123	-0.0108	-0.0295	0.0083	-0.0247
line_486	line_486	2	2	1	15.87253968	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0052	0.0332	-0.0186	-0.0003	-0.0048
line_491	line_491	1	1	1	10.74492978	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0055	0.0439	-0.0203	-0.0105	-0.004
line_502	line_502	1	2	-9	16.03426395	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.0143	-0.0193	-0.0396	-0.0071	-0.0056
line_517	line_517	1	1	1	14.12054422	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0103	0.037	-0.0263	-0.0104	-0.0247
line_528	line_528	2	2	1	17.93170118	1.078852887	-0.145229597	0.666611497	-0.413216164	0.163363531	0.0147	-0.0156	-0.038	0.001	-0.025
line_530	line_530	2	2	1	13.72345164	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0025	0.0289	-0.0281	-0.0029	-0.0142
line_531	line_531	2	1	1	11.93280358	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0106	0.0417	-0.0197	0.0064	0.0011
line_535	line_535	2	1	1	14.1568761	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0066	0.0402	-0.022	-0.0109	-0.0038
