Block,Box,MenEx,DGRP,MenRep1,MenRep2,MenRep3
33,126,3,40,16.051,16.146,
33,126,3,40,17.392,17.262,
33,126,3,40,16.369,15.839,
33,126,3,40,17.072,17.214,
33,126,3,40,14.984,14.804,
33,126,3,40,13.215,13.049,
33,126,3,40,16.39,15.728,
33,126,3,40,14.951,14.876,
33,126,76,40,11.713,11.359,
33,126,76,40,12.78,12.613,
33,126,76,40,11.025,9.649,
33,126,76,40,12.017,11.862,
33,126,76,40,12.582,12.499,
33,126,76,40,12.201,12.132,
33,126,76,40,11.915,11.694,
33,126,76,40,11.858,12.606,
33,126,76,40,11.447,11.508,
33,126,76,40,12.006,11.957,
33,126,86,40,10.195,10.1,
33,126,86,40,10.71,11.068,
33,126,86,40,12.231,12.16,
33,126,86,40,9.492,9.257,
33,126,86,40,10.29,10.003,
33,126,86,40,9.444,9.106,
33,126,86,40,9.599,9.454,
33,126,86,40,10.471,10.333,
33,126,86,40,10.658,10.56,
33,126,86,40,9.681,9.759,
34,127,3,45,13.478,14.088,
34,127,3,45,11.83,12.242,
34,127,3,45,13.173,13.509,
34,127,3,45,13.283,14.126,
34,127,3,45,10.349,10.636,
34,127,3,45,12.653,13.251,
34,127,3,45,13.884,14.173,
34,127,3,45,13.335,13.464,
34,127,3,45,13.379,13.413,
34,127,3,45,13.579,14.074,
34,127,76,45,11.904,12.101,
34,127,76,45,11.902,11.37,
34,127,76,45,12.41,12.85,
34,127,76,45,12.577,12.522,
34,127,76,45,10.358,10.301,
34,127,76,45,11.131,,
34,127,76,45,13.197,13.004,
34,127,76,45,10.934,11.617,
34,127,76,45,12.405,12.674,
34,127,76,45,9.723,9.878,
34,127,86,45,9.713,,
34,127,86,45,9.294,9.05,
34,127,86,45,9.341,9.611,
34,127,86,45,9.426,9.924,
34,127,86,45,9.915,10.463,
34,127,86,45,10.751,10.878,
34,127,86,45,9.936,10.246,
34,127,86,45,10.163,10.753,
34,127,86,45,10.292,10.393,
34,127,86,45,9.921,9.906,
36,129,3,57,8.624,8.266,
36,129,3,57,7.776,7.78,
36,129,3,57,8.835,8.932,
36,129,3,57,,7.934,
36,129,3,57,8.874,8.763,
36,129,3,57,9.374,8.873,
36,129,3,57,8.041,7.728,
36,129,3,57,7.699,7.522,
36,129,3,57,8.639,,
36,129,3,57,8.436,7.739,
36,129,76,57,7.238,7.061,
36,129,76,57,6.921,6.688,
36,129,76,57,7.211,6.675,
36,129,76,57,6.248,6.18,
36,129,76,57,6.758,6.71,
36,129,76,57,7.187,8.215,
36,129,76,57,6.216,5.655,
36,129,76,57,6.56,6.154,
36,129,76,57,6.356,6.228,
36,129,76,57,5.026,4.91,
36,129,86,57,,6.655,
36,129,86,57,7.044,6.725,
36,129,86,57,6.295,6.381,
36,129,86,57,5.943,5.556,
36,129,86,57,5.703,5.687,
36,129,86,57,6.624,6.061,
36,129,86,57,6.596,6.187,
36,129,86,57,6.071,5.803,
36,129,86,57,6.317,5.98,
36,129,86,57,6.501,6.652,
3,3,3,59,16.442,17.76,
3,3,3,59,,16.705,
3,3,3,59,16.57,16.527,
3,3,3,59,16.133,17.446,
3,3,3,59,17.415,18.023,
3,3,3,59,17.625,18.002,
3,3,3,59,16.26,16.503,
3,3,3,59,17.683,18.043,
3,3,3,59,17.914,18.758,
3,3,3,59,17.152,,
3,3,76,59,10.393,10.505,
3,3,76,59,10,10.46,
3,3,76,59,10.007,9.694,
3,3,76,59,10.019,11.29,
3,3,76,59,9.212,9.572,
3,3,76,59,10.836,11.145,
3,3,76,59,12.309,12.05,
3,3,76,59,10.312,10.727,
3,3,76,59,8.33,8.736,
3,3,76,59,11.312,11.117,
3,3,86,59,8.385,8.7,
3,3,86,59,8.666,8.832,
3,3,86,59,8.139,7.891,
3,3,86,59,8.765,9.136,
3,3,86,59,7.868,8.231,
3,3,86,59,10.035,10.214,
3,3,86,59,8.952,9.494,
3,3,86,59,7.732,8.484,
3,3,86,59,10.024,9.973,
3,3,86,59,8.313,9.851,
35,128,3,69,11.96,11.514,
35,128,3,69,11.33,11.586,
35,128,3,69,12.819,13.081,
35,128,3,69,11.1,11.316,
35,128,3,69,12.912,12.46,
35,128,3,69,13.076,13.049,
35,128,3,69,10.644,10.906,
35,128,3,69,11.599,11.318,
35,128,3,69,11.752,,
35,128,3,69,11.308,11.171,
35,128,76,69,7.191,7.664,
35,128,76,69,8.433,8.694,
35,128,76,69,8.275,7.897,
35,128,76,69,6.779,7.068,
35,128,76,69,7.953,7.896,
35,128,76,69,7.984,7.312,
35,128,76,69,7.532,6.565,
35,128,76,69,8.475,8.221,
35,128,76,69,8.037,7.403,
35,128,76,69,7.489,7.652,
35,128,86,69,7.205,7.683,
