"","PosteriorMean","PosteriorL","PosteriorU"
"MenEx86.DGRP.808",0.675490287934147,0.596758078127937,0.751096782149173
"MenEx86.DGRP.810",0.709903106348556,0.636581505059516,0.777166613572808
"MenEx86.DGRP.818",0.677986152991736,0.620210924497813,0.733968444996718
"MenEx86.DGRP.819",0.637184653591382,0.552290519415017,0.720186572890702
"MenEx86.DGRP.820",0.623114455575561,0.535451565734472,0.712386754938782
"MenEx86.DGRP.822",0.518787871905695,0.433570033087626,0.603045667836801
"MenEx86.DGRP.837",0.535662733783075,0.436680229338893,0.634250152164041
"MenEx86.DGRP.843",0.871233730383389,0.801279580900272,0.941078866969219
"MenEx86.DGRP.849",0.602518311175404,0.532166122582799,0.668729599783624
"MenEx86.DGRP.850",0.631344862984895,0.562558725032673,0.69548075841726
"MenEx86.DGRP.852",0.810098066265696,0.708680047340897,0.918075872926199
"MenEx86.DGRP.853",0.462201075710992,0.381696114602861,0.550020573881262
"MenEx86.DGRP.855",0.748079855236309,0.678895078469496,0.818742620244662
"MenEx86.DGRP.857",0.50447436293549,0.428062129178546,0.577056185299219
"MenEx86.DGRP.859",0.542614237197901,0.474767201113308,0.613008050394186
"MenEx86.DGRP.861",0.583095953261852,0.510233300290806,0.658132754977935
"MenEx86.DGRP.879",0.586863995818649,0.496955177920818,0.682321806490694
"MenEx86.DGRP.882",0.857484981971721,0.779513314536082,0.93402160226543
"MenEx86.DGRP.884",0.41226244139597,0.329136102082221,0.49216894183461
"MenEx86.DGRP.890",0.800223465809722,0.734150924463812,0.866997384108066
"MenEx86.DGRP.894",0.772296875620585,0.716011884668971,0.827481596450091
"MenEx86.DGRP.897",0.676937258948565,0.593287188890751,0.759326956337208
"MenEx86.DGRP.900",0.887399947202781,0.821029576440846,0.95011811017584
"MenEx86.DGRP.907",0.628767477502497,0.559955300058517,0.700861857312118
"MenEx86.DGRP.908",0.722633974792477,0.642278637750105,0.79257620686272
"MenEx86.DGRP.911",0.780315088585077,0.711571596395201,0.847288778281953
