"","MenEx3","MenEx76","MenEx86"
"MenEx3.DGRP.21",14.06150741118,8.6748079366375,7.98412633112956
"MenEx3.DGRP.26",16.084849762916,8.86769144582568,7.78477023307423
"MenEx3.DGRP.28",13.2434510147722,12.3241840377857,11.4883617136271
"MenEx3.DGRP.31",13.9287037227891,7.07349228210134,6.97077813869253
"MenEx3.DGRP.32",9.86730847640797,7.82541290403099,6.98064797832467
"MenEx3.DGRP.38",11.2719142682204,8.92034731335442,7.7155373868059
"MenEx3.DGRP.40",15.5447956538312,12.0360533566614,10.4732460447585
"MenEx3.DGRP.45",12.618505353916,11.0422469898974,9.44608558370275
"MenEx3.DGRP.57",10.2035968391522,8.28565417112416,8.00310805230169
"MenEx3.DGRP.59",17.3547643280885,10.6774341447354,9.19777337750733
"MenEx3.DGRP.69",11.9847108028282,7.88097563163391,7.17188499666701
"MenEx3.DGRP.75",12.0960104639065,8.93960534089793,8.19877884745825
"MenEx3.DGRP.83",10.8007436246245,7.17931200408582,7.79645422834045
"MenEx3.DGRP.85",13.7117054482793,10.7293917817571,8.82818613526741
"MenEx3.DGRP.88",15.0191508672267,8.98628042794835,7.62689001007399
"MenEx3.DGRP.91",16.3391518621255,12.3427742929986,10.9519791865804
"MenEx3.DGRP.93",11.768875198421,6.72626244733368,5.96799262726128
"MenEx3.DGRP.100",11.7381103335426,7.1119622504783,7.55311181618346
"MenEx3.DGRP.101",16.1984044373413,8.25304228515725,7.37341383552228
"MenEx3.DGRP.105",11.9603985900709,8.05300811948825,8.43674920316993
"MenEx3.DGRP.109",22.0172661766146,14.4728980654597,14.1491934534992
"MenEx3.DGRP.129",19.0023521103444,13.0316019000337,12.3208221536554
"MenEx3.DGRP.136",13.4503050009109,8.10076027824377,7.19559826199629
"MenEx3.DGRP.142",17.2967447524574,10.3306234111984,9.39344769483472
"MenEx3.DGRP.149",14.7958226343111,11.2313449913804,8.85725708652689
"MenEx3.DGRP.153",12.3393311275475,8.85089967219021,8.25096815615663
"MenEx3.DGRP.181",11.5226781150333,9.31342842827781,7.93909075905656
"MenEx3.DGRP.189",16.450680815876,11.8785201142996,9.17299548537982
"MenEx3.DGRP.195",12.1445817534035,7.5740550877368,7.17327371784994
"MenEx3.DGRP.208",16.3560500939322,14.2176069467956,12.7056390529469
"MenEx3.DGRP.217",9.51932166007973,6.9328629965143,7.91833402675337
"MenEx3.DGRP.228",9.98336693619846,7.22431799656893,6.46163101772481
"MenEx3.DGRP.235",16.234021979393,12.0916465071465,12.600889041633
"MenEx3.DGRP.237",14.8715064925802,13.1750026422764,10.0799638904754
"MenEx3.DGRP.239",15.7795194464283,14.7617431229543,11.5851385548047
"MenEx3.DGRP.280",13.0546895530028,10.7635991212823,10.0634385617805
"MenEx3.DGRP.287",17.8168595575263,12.7060447365053,11.0711699355178
"MenEx3.DGRP.301",15.2543082104417,14.3060931894627,12.9199498155521
"MenEx3.DGRP.303",14.2460391570139,8.68009795701586,10.7202543883864
"MenEx3.DGRP.304",10.8143391429248,7.22173272667604,8.19499778089549
"MenEx3.DGRP.306",16.5162495249371,11.8318931210852,10.4245331666965
"MenEx3.DGRP.307",14.5235195161595,10.4117234876416,10.7384685082512
"MenEx3.DGRP.309",12.4414413514649,7.59780678744163,5.89379018632306
"MenEx3.DGRP.310",14.5434185719143,10.8658517914661,9.71643568283607
"MenEx3.DGRP.313",12.9987534558469,9.0263742898855,9.03188118090387
"MenEx3.DGRP.315",12.443362836564,10.6230955437177,8.81079738902099
"MenEx3.DGRP.317",12.0294578302776,9.01838239791317,7.88653927447283
"MenEx3.DGRP.318",13.4221884603185,8.65471594072801,7.97599050438057
"MenEx3.DGRP.319",17.7887759634735,12.496159594093,12.8641425684825
"MenEx3.DGRP.320",13.6846577601998,12.585898071262,10.2729822023433
"MenEx3.DGRP.324",12.1948691596083,9.60272892355652,9.31421411702589
"MenEx3.DGRP.335",15.3608364311067,12.4014633136195,11.2117844788569
"MenEx3.DGRP.336",15.6068981526725,10.1861285622582,9.7237869502648
"MenEx3.DGRP.338",13.6669848464161,10.9799024443473,10.7709084129197
"MenEx3.DGRP.350",11.7899159583312,8.04658065658916,7.83493518539107
"MenEx3.DGRP.357",14.1938105471432,6.97432568098242,6.10981708434338
"MenEx3.DGRP.358",12.6942156962221,8.44296294617545,7.21180599975969
"MenEx3.DGRP.359",16.3170137144435,12.3328620179433,10.3556561353119
"MenEx3.DGRP.360",16.4718226297513,13.5066633401056,12.1022433531152
"MenEx3.DGRP.361",14.0739138639668,8.45701569590105,8.77720408384261
"MenEx3.DGRP.362",13.9517160370179,12.7798942601877,11.1684155637608
"MenEx3.DGRP.365",14.1729491988912,10.8602369068869,11.4571761198995
"MenEx3.DGRP.367",13.0743570867505,11.2868469204513,12.0791249903458
"MenEx3.DGRP.370",15.6299347884744,11.5593045087511,9.48927360546775
"MenEx3.DGRP.373",11.2891224020887,9.98278943042847,8.19696778803184
"MenEx3.DGRP.374",11.9310393150334,10.4412716306288,9.36518385937667
"MenEx3.DGRP.375",10.928556955441,8.86656616227738,8.04148203723581
"MenEx3.DGRP.379",14.0797480382906,8.94409021595712,8.48207064852929
"MenEx3.DGRP.380",16.0898410549109,12.1770067489552,10.1896470877243
"MenEx3.DGRP.383",13.8917008303076,11.165674998692,9.49646544775905
"MenEx3.DGRP.385",12.5728558997746,11.7215424533379,11.2349492683357
