"","PosteriorMean","PosteriorL","PosteriorU"
"MenEx76.DGRP.21",0.615675018600616,0.536983598718555,0.691216757431693
"MenEx76.DGRP.26",0.550031128117173,0.477696561628858,0.622497935754338
"MenEx76.DGRP.28",0.930885532815589,0.854385953121058,1.00418140292822
"MenEx76.DGRP.31",0.505909388259892,0.41802248564849,0.592913732580246
"MenEx76.DGRP.32",0.790277201552487,0.677132911273627,0.897915909630649
"MenEx76.DGRP.38",0.78916676756113,0.688311450698232,0.880245767311983
"MenEx76.DGRP.40",0.773909135204461,0.707951414248314,0.834323532236262
"MenEx76.DGRP.45",0.875118213680709,0.797718820488011,0.953533576971266
"MenEx76.DGRP.57",0.810528283550177,0.709886486099158,0.910798965179197
"MenEx76.DGRP.59",0.614388319015206,0.550423882411557,0.678532624760232
"MenEx76.DGRP.69",0.656174396891611,0.567323767976313,0.744244100890987
"MenEx76.DGRP.75",0.736467702472154,0.639342062726753,0.825595061762906
"MenEx76.DGRP.83",0.662567864450514,0.562790193677294,0.761791360665876
"MenEx76.DGRP.85",0.780902309403435,0.698881461496928,0.856675392185526
"MenEx76.DGRP.88",0.597060924621629,0.521603119881706,0.671860686537873
"MenEx76.DGRP.91",0.754964990489479,0.693064386181059,0.815776603812136
"MenEx76.DGRP.93",0.571413373501646,0.501486522479314,0.646863119446551
"MenEx76.DGRP.100",0.605850215039609,0.532341240165532,0.677770934497862
"MenEx76.DGRP.101",0.508091742357899,0.428148996580726,0.57978864722822
"MenEx76.DGRP.105",0.671468503484542,0.578275808843024,0.764464232726824
"MenEx76.DGRP.109",0.65627105464889,0.601825818684842,0.711511443844864
"MenEx76.DGRP.129",0.684938752831151,0.626252858992843,0.741330951944674
"MenEx76.DGRP.136",0.599847547474484,0.507822789277854,0.686876490400837
"MenEx76.DGRP.142",0.595875580818418,0.52457839162064,0.666010723723178
"MenEx76.DGRP.149",0.758632677015818,0.688929993338686,0.82574563495184
"MenEx76.DGRP.153",0.714936797645909,0.621367141716946,0.803429541910688
"MenEx76.DGRP.181",0.807848251087533,0.72305552305425,0.893252751384159
"MenEx76.DGRP.189",0.721619619909933,0.657559261249945,0.785704131026604
"MenEx76.DGRP.195",0.619483019195286,0.505196548548094,0.722119992279145
"MenEx76.DGRP.208",0.870088762410861,0.803181993202104,0.941216373029133
"MenEx76.DGRP.217",0.725785220962,0.61002828642651,0.833856094954102
"MenEx76.DGRP.228",0.72218551882886,0.616713077268222,0.820202569016529
"MenEx76.DGRP.235",0.744362121034351,0.683257914034578,0.807261124359512
"MenEx76.DGRP.237",0.88603826267382,0.819512098521601,0.953327625336784
"MenEx76.DGRP.239",0.935776088966697,0.873749093029909,0.997200656326668
"MenEx76.DGRP.280",0.824251752283433,0.751161798717103,0.898832557293581
"MenEx76.DGRP.287",0.712286637773344,0.651334730574174,0.771584804436225
"MenEx76.DGRP.301",0.939549173778557,0.849667408256525,1.03124336728772
"MenEx76.DGRP.303",0.609736143448094,0.541032742819182,0.680867797109802
"MenEx76.DGRP.304",0.668770052324881,0.575351728003077,0.763103648400609
"MenEx76.DGRP.306",0.715837837011993,0.649152975661083,0.778455085586627
"MenEx76.DGRP.307",0.71754302812239,0.646500542894497,0.788624255740567
"MenEx76.DGRP.309",0.609075692899065,0.519247104423459,0.69414876383985
"MenEx76.DGRP.310",0.7466014028722,0.680312381280148,0.817189448999228
"MenEx76.DGRP.313",0.695849373506445,0.604072182611807,0.787907560385321
"MenEx76.DGRP.315",0.855007980441263,0.768120727797561,0.949088994717828
"MenEx76.DGRP.317",0.748866996136279,0.667565514162138,0.832936469650925
"MenEx76.DGRP.318",0.642748656847651,0.553381357111032,0.726278514350698
"MenEx76.DGRP.319",0.70198450426152,0.645887383173744,0.758844575282137
"MenEx76.DGRP.320",0.919893361176324,0.850386108902015,0.992617069776023
"MenEx76.DGRP.324",0.786104030042741,0.700739000663666,0.872009597518253
"MenEx76.DGRP.335",0.808089754538547,0.736842190151348,0.879355427221966
"MenEx76.DGRP.336",0.651419581555894,0.578240273760056,0.720130894704308
"MenEx76.DGRP.338",0.803076504621811,0.730879357027016,0.874039825070991
"MenEx76.DGRP.350",0.67956680117334,0.575954604022044,0.774566944204304
"MenEx76.DGRP.357",0.491700588967056,0.421592475296445,0.562043300398313
"MenEx76.DGRP.358",0.66896128143913,0.550408746275654,0.791707326763212
"MenEx76.DGRP.359",0.755359582046429,0.69459539665487,0.817774121035959
"MenEx76.DGRP.360",0.820546110886032,0.759861868963652,0.883071579539748
"MenEx76.DGRP.361",0.599190795242386,0.516426345116536,0.677898022468176
"MenEx76.DGRP.362",0.916689347660289,0.848945755537877,0.986982101221141
"MenEx76.DGRP.365",0.766697390231361,0.704561382915025,0.834444395032444
"MenEx76.DGRP.367",0.863281252305139,0.788887056625067,0.938229834655933
"MenEx76.DGRP.370",0.738978046892192,0.672043272018118,0.801415310319256
"MenEx76.DGRP.373",0.884224054743128,0.79921558277445,0.97276265048844
"MenEx76.DGRP.374",0.874367714496152,0.788556971912838,0.960115768908427
"MenEx76.DGRP.375",0.812133889272948,0.727650201863132,0.898796979705614
"MenEx76.DGRP.379",0.635387182298394,0.570662081767534,0.696221895101745
"MenEx76.DGRP.380",0.757655011890974,0.69031590615477,0.828906322713765
"MenEx76.DGRP.383",0.803364700421556,0.730751707496686,0.873431143035494
"MenEx76.DGRP.385",0.932642445390779,0.854713458880312,1.01303799813014
"MenEx76.DGRP.386",0.471957073717764,0.388350843002348,0.553538900211601
"MenEx76.DGRP.390",0.731016377535965,0.656972175515528,0.801959939774211
"MenEx76.DGRP.391",0.683396219278701,0.593656753944555,0.766107271290687
"MenEx76.DGRP.392",0.97700793742376,0.91135542238542,1.04217511619461
"MenEx76.DGRP.395",0.802458652370046,0.740937914912334,0.863113224968273
"MenEx76.DGRP.397",0.775497679593121,0.692009850491557,0.856304103892357
"MenEx76.DGRP.399",0.54879219822575,0.472985761842011,0.62308340972932
"MenEx76.DGRP.405",0.646918317396883,0.553891981901732,0.737986361005075
"MenEx76.DGRP.406",0.649960251303186,0.583522842078448,0.715823612434831
"MenEx76.DGRP.426",0.72531618700656,0.647782232663043,0.797421719284846
"MenEx76.DGRP.427",0.656519155425003,0.585427680883073,0.731957830660029
"MenEx76.DGRP.437",0.834877370051591,0.757059641383959,0.914654813479844
"MenEx76.DGRP.439",0.891541019526836,0.823247071510191,0.961278822497815
"MenEx76.DGRP.440",0.626247062365161,0.546084742911073,0.705332794184479
"MenEx76.DGRP.441",0.573048234872268,0.458462279311095,0.682858792423723
"MenEx76.DGRP.443",0.846288370171298,0.777380293075084,0.913514144112524
"MenEx76.DGRP.486",0.895383068192801,0.826462126850622,0.964121937518666
"MenEx76.DGRP.491",0.700010862470894,0.589043194415166,0.802098258745171
"MenEx76.DGRP.502",0.708078081999821,0.640115398355829,0.773492560037333
"MenEx76.DGRP.517",0.643232976575655,0.568095556926064,0.719067133038828
"MenEx76.DGRP.528",0.85696203764943,0.808059383121254,0.90784822756265
"MenEx76.DGRP.530",0.759063465993352,0.684995623994546,0.834184337261164
"MenEx76.DGRP.531",0.775941050702957,0.691237922806673,0.864960114187212
"MenEx76.DGRP.535",0.611229974190616,0.526580171853362,0.692943984295588
"MenEx76.DGRP.551",0.590640888244673,0.503077383443763,0.668259428048332
"MenEx76.DGRP.555",0.962458336150001,0.874453162241969,1.05280094428021
"MenEx76.DGRP.559",0.683234925290695,0.614157124488124,0.747374307304205
"MenEx76.DGRP.563",0.845801725780701,0.743664832315521,0.942409649260721
"MenEx76.DGRP.584",0.840792656171921,0.782255348677052,0.899301923442453
"MenEx76.DGRP.630",0.766933744039883,0.677629070596702,0.852169712536573
"MenEx76.DGRP.639",0.843252875910272,0.766121853208479,0.926531793488806
"MenEx76.DGRP.703",0.750064731288987,0.66951905493979,0.825489136932865
"MenEx76.DGRP.705",0.989614180556251,0.916342772860496,1.06604781143759
"MenEx76.DGRP.707",0.836903901878785,0.763271033393245,0.915851570718751
"MenEx76.DGRP.712",0.748844301947139,0.689852102469956,0.808152833416489
"MenEx76.DGRP.714",0.752673273641967,0.67562954967642,0.832897145314744
"MenEx76.DGRP.716",0.767588880641822,0.701292406282835,0.833825633574743
"MenEx76.DGRP.721",0.771179086977082,0.695311506704702,0.846243405103847
"MenEx76.DGRP.730",0.949789575571486,0.786678651366251,1.10808184184895
"MenEx76.DGRP.732",0.652549993770723,0.575738530415891,0.73595367992732
"MenEx76.DGRP.737",0.767741493573308,0.708599941484551,0.828548822767434
"MenEx76.DGRP.738",0.762664571503844,0.695053563517813,0.830070790783721
"MenEx76.DGRP.748",0.694272494377601,0.635241642186472,0.751709188461359
"MenEx76.DGRP.757",0.388239727558263,0.282808900052707,0.487301963021626
"MenEx76.DGRP.765",0.790093020696886,0.706934253722834,0.873125343360517
"MenEx76.DGRP.774",0.799372944907859,0.708309374695053,0.891977862130329
"MenEx76.DGRP.776",0.706235134603935,0.623090400778825,0.787414397231594
"MenEx76.DGRP.783",0.591346236082807,0.486069690493571,0.689152103156439
"MenEx76.DGRP.786",0.763894890194295,0.673411181362574,0.850939664645173
"MenEx76.DGRP.790",0.757518722282028,0.681076325168423,0.831123813086135
"MenEx76.DGRP.796",0.676341885989527,0.577218084487228,0.767885376502864
"MenEx76.DGRP.799",0.927727720783943,0.850857290883751,1.00684663091595
"MenEx76.DGRP.802",0.673439916005503,0.589517256978819,0.750690245874845
"MenEx76.DGRP.808",0.728787394294904,0.648497847767311,0.811595646461408
"MenEx76.DGRP.810",0.580048192330212,0.488253456107276,0.667721596142385
"MenEx76.DGRP.818",0.816461422310012,0.758912026476728,0.875269524092113
"MenEx76.DGRP.819",0.826849116024156,0.751552286968031,0.900575145589484
"MenEx76.DGRP.820",0.781991999546081,0.67947888046403,0.889868326409566
"MenEx76.DGRP.822",0.628740936559019,0.546598363245609,0.708550038540109
"MenEx76.DGRP.837",0.556335588705629,0.451165152274891,0.657145874778928
"MenEx76.DGRP.843",0.847728433326601,0.770391667278753,0.923950937080647
"MenEx76.DGRP.849",0.679527429617242,0.609175600212729,0.748110014362074
"MenEx76.DGRP.850",0.607015450874727,0.530040843460655,0.676014062056813
"MenEx76.DGRP.852",0.838160983186928,0.73380775009383,0.942822702680177
"MenEx76.DGRP.853",0.599515082175093,0.525109736522477,0.675196321861363
"MenEx76.DGRP.855",0.836686666690559,0.76041147925169,0.907987689503743
"MenEx76.DGRP.857",0.546978096212157,0.472200663197653,0.623712692985098
"MenEx76.DGRP.859",0.545708550952111,0.47163756575564,0.61883468783838
"MenEx76.DGRP.861",0.808779368777551,0.73722176042092,0.880967794950539
"MenEx76.DGRP.879",0.686996168946741,0.604875168554175,0.769144605713414
"MenEx76.DGRP.882",0.925646163321204,0.841451132939501,1.01116790788365
"MenEx76.DGRP.884",0.409356811252714,0.323336402153206,0.493943537588871
